fseq,name,kcal,carb,prt,fat
472,물쫄면,701.02997,148.65988,17.4611,3.166
473,생선커틀릿,1497.67,219.5351,80.202995,26.980999
474,오리주물럭,763.60004,106.01099,64.7545,11.693
475,명란감자파스타,859.75,139.4265,27.503498,21.130001
476,백순두부찌개,794.7,53.282997,106.854,23.137001
477,장떡,1600.19,248.6942,32.482403,48.827
478,양배추두부조림,859.75,71.939,44.163498,46.134003
479,소고기간장떡볶이,1671.24,166.73048,42.9437,92.6075
480,단팥죽,1167.86,256.9964,24.596,2.4852
481,눈꽃새우튀김,2628.6997,127.3565,67.61651,203.923
482,또띠아고구마치즈롤,1127.6299,143.3457,45.1092,41.0795
483,항정살스테이크,572.25,25.213001,59.977,24.960001
484,불주꾸미 볶음우동,392.69998,51.9205,24.7055,7.7795
485,제육볶음피자,789.39996,28.508999,56.5,48.351
486,매콤 소세지 크림 숏파스타,1144.57,209.2632,39.066597,17.7425
487,열무참치비빔밥,616.75,43.264496,34.8135,33.1535
488,단호박 크랜배리 샐러드,419.66,30.1971,2.8927,33.482
489,치즈밥,772.4,77.0185,32.226,36.01
490,불닭,1274.45,117.8895,107.28851,43.2065
491,치즈콩불,1380.1,64.657,78.64,92.663
492,비빔밥부리또,1437.7999,95.618004,87.882996,74.62601
493,참치야채죽,513.5,57.182003,23.280998,21.2665
494,김치 두루치기,1463.6001,116.039,83.59051,75.197495
495,계란말이튀김,698.45,27.967999,55.356495,37.164
496,반반갈비찜,1545.75,140.896,127.02301,51.997997
497,라면볶이,989.25,132.92259,42.360104,32.333103
498,애플파이,1360.3,302.383,19.705,19.513
499,돼지고기 두부조림,783.95,47.802002,68.9245,35.057003
500,애호박 오징어전,2021.7,386.257,80.331,7.415
501,압구정엽떡,2352.21,207.6159,126.6911,114.187
502,발사믹 버섯 샐러드,157.2,34.885498,8.8945,1.198
503,태국식 닭바질볶음,588.95,21.2005,96.423,11.509999
504,간단해장국,616.60004,35.284504,68.375496,23.105001
505,간장치킨,1405.96,117.8857,155.41838,24.882898
506,토마토목살덮밥,594.2,39.502502,43.8265,29.365004
507,삼겹살 튀김,963.95,43.9885,50.803497,62.708996
508,떠먹는 고구마피자,1311.0,196.4645,38.343002,46.069
509,오사카규카츠,3402.7002,311.90646,148.14749,160.6615
510,사골돼지전골,627.64996,19.015999,87.7315,20.5975
511,우삼겹덮밥,337.51,32.1934,33.882095,8.247001
512,반반김치찌개,1257.8999,69.90101,99.467,65.2845
513,돼지고기피망잡채,637.69995,14.974999,33.426003,49.45
514,해쉬포테이토,512.4,90.845,13.537499,9.3615
515,돼지고기달걀장조림,2113.3,226.62599,189.791,48.852
516,맥반석달걀,489.6,2.844,46.475998,29.7
517,취나물무침,486.59,32.129,12.612499,36.1755
518,머쉬룸 바질페스토 파스타,756.30005,124.401,22.275002,21.0
519,파프리카 치즈 달걀찜,433.8,18.853,33.107,24.038002
520,마늘 멸치볶음,833.0,73.8285,82.6825,21.82
521,중화 비빔밥,929.44,101.2861,58.9004,29.7194
522,전자레인지치킨,2305.86,287.01764,175.84401,49.561905
523,쟁반짜장면,3312.4,362.976,141.0625,140.25851
524,두두콩국수,935.7,114.73599,51.156998,27.264002
525,목살 스테이크 샐러드,1827.35,69.361,133.7995,109.2
526,양파스프,575.39996,56.751,29.855999,27.541
527,매운돼지장떡,4173.95,774.1369,142.40201,36.291
528,갈치구이,1052.6,75.92,83.8,40.98
529,애호박칼국수,541.5,103.485,22.04,2.2250001
530,버섯탕수,989.51996,215.273,26.2076,1.8571
531,어묵국수,783.35004,135.6515,38.6025,6.5949993
532,삼겹앤칩스,1223.7,62.62749,43.588997,89.6015
533,마늘 닭강정,1055.8,125.71851,98.750496,15.128999
534,볶음쌀국수,1347.1998,237.34196,65.52301,14.800001
535,고등어묵은지조림,1768.25,56.5415,177.3255,88.1
536,돌솥비빔밥,690.14996,131.2005,23.665,7.341
537,에그프리타타,1221.7,47.690502,56.026497,89.827
538,어묵콩나물볶음,542.08997,58.6706,24.131998,25.4491
539,감잣국,201.19998,35.162502,11.316,3.15
540,감자베이컨전,312.85,48.335503,11.655001,8.64
541,차돌강된장,338.8,14.856001,45.556,10.296001
542,두부강정,473.94998,53.354,33.255497,14.775001
543,달걀샌드위치,1031.2999,25.231499,43.851498,81.852005
544,버섯밥,769.8501,134.97302,17.742,16.474499
545,치즈해시브라운,776.05005,86.5263,36.264297,30.837702
546,머쉬룸크림파스타,865.2,147.472,17.92,28.479
547,두부무침,923.70996,58.6639,41.581497,59.455803
548,마카로니샐러드,1519.41,189.10458,27.666,72.778
549,마약토스트,500.84998,115.48351,5.505,6.6450005
550,온메밀국수,1390.4999,235.519,92.11299,23.443
551,삼겹살피자,1506.7,70.448,91.90199,92.801994
552,삼겹살 야채볶음,776.82,28.2633,36.4347,58.660995
553,병아리콩 동그랑땡,59.55,11.4065,2.4569998,0.6185
554,버터치즈후라이,345.1,29.4751,21.3046,17.467201
555,버섯스크램블,476.0,62.334003,26.289999,20.012001
556,가지피자,1187.85,62.843002,61.737,79.935
557,달걀샐러드,536.97,22.469301,24.4327,39.146
558,병아리콩 샐러드,945.30005,116.765,30.368002,39.026
559,고등어버터구이,647.3,50.701004,46.957005,31.425999
560,갓김치삼겹살찜,2300.88,62.723602,122.7948,173.541
561,렌틸콩 카레라이스,1053.4,191.56,51.522,23.181
562,콘치즈식빵,810.02,44.869602,32.887,55.086998
563,삼겹살초밥,597.92,59.7596,21.8156,29.067999
564,고추장어묵볶음,800.7001,133.911,38.775997,14.962
565,렌틸콩 파스타,1483.1,271.76,66.415,15.16
566,콩나물 코다리찜,1557.0,51.576004,292.002,18.029999
567,치즈뚝배기파스타,1467.55,119.628,77.003,75.362
568,고등어 무 조림,1335.7699,56.4226,114.10899,71.43499
569,팟 가파오,498.1,29.5325,39.941505,23.9385
570,감바스,1906.25,20.182,36.862,181.9235
571,달걀조림,530.74994,25.082901,33.113297,32.1926
572,마늘빵과 알리오올리오,1658.6799,277.2725,39.2104,49.507698
573,참치 김말이 튀김,1086.05,153.9525,55.6465,27.113
574,하와이안쉬림프,496.0,72.596,47.955,6.158
575,시리얼프렌치토스트,1947.6,289.047,51.661,64.679
576,얼큰해물짬뽕우동,519.8,73.74701,40.594,4.602
577,얼갈이 된장국,438.95,30.771,42.784504,17.0625
578,황태무채국,1256.3401,33.418,167.52008,49.4206
579,굴샐러드,572.85,52.6855,19.49,33.6
580,전복죽,2174.75,351.02997,62.223,50.6675
581,양파덮밥,229.29999,13.982001,19.493,10.000001
582,돼지안심 스테이크,375.0,15.086,57.150997,9.499999
583,가지된장덮밥,700.14,64.5926,16.028399,41.982998
584,병아리콩 강정,394.30002,68.624,17.270601,5.66
585,쌈장열무비빔밥,859.7,74.745,28.997002,47.603996
586,항정살 명란덮밥,1258.9,100.2875,112.0735,43.276
587,해물 순두부,661.47003,36.6565,94.061005,13.678
588,치킨치즈오븐스파게티,1263.5,150.27998,103.95999,26.25
589,중국식 감자채볶음,81.5,18.595001,2.676,0.085
590,목이버섯 볶음,141.5,12.4325,2.7935,10.221499
591,오징어밥,339.4,51.652004,25.665,2.16
592,달걀 순두부국,394.8,11.664001,47.185,16.515
593,바지락 순두부 찌개,437.65002,17.9605,38.0125,23.386501
594,치즈 베이컨 포테이토,3301.0,33.072998,39.902,338.48102
595,매콤새콤 단무지무침,237.12999,54.458397,5.1963,2.0379999
596,레몬 크림 새우,2879.4001,244.602,84.10551,167.64749
597,바지락 칼국수,949.54004,148.7802,65.461006,5.582
598,김치어묵우동,718.8,108.884,32.9055,17.4125
599,새우로제파스타,1237.7,155.317,50.560997,41.756
600,렌틸콩 국수,1510.9,252.35199,69.383,23.921501
601,하야시라이스,199.1,26.57,12.110001,5.7070003
602,버터연유시나몬 바게트,327.19998,65.880005,8.636,3.913
603,오이양파무침,93.37,21.028599,3.2545002,0.472
604,참치샐러드 또띠아쌈,1065.7499,67.55,42.4965,70.726006
605,골뱅이비빔국수,642.15,100.21101,46.6435,9.5205
606,수플레오믈렛,322.05002,27.8055,20.717999,13.620001
607,호두밥,1854.4,250.254,38.675,75.14
608,꽃게탕,610.71,58.5998,81.884705,8.124
609,배추국물떡볶이,907.50006,207.194,22.325,2.358
610,나폴리탄 파스타,1339.0,198.152,38.751,43.665
611,토마토 미트 파스타,617.60004,99.06149,19.3245,12.665501
612,간장물갈비,3282.05,295.79144,152.51501,152.416
613,연두부크림치즈딥,1118.8899,55.3681,18.5936,93.660194
614,계란말이김밥,1780.45,138.365,58.149,111.52051
615,바나나쉐이크,491.4,82.097,15.094999,13.78
616,베이컨덮밥,625.1,70.798004,22.917002,28.615
617,새송이버섯 조림,173.95001,38.506,11.422501,0.52900004
618,봉골레파스타,989.46,92.0929,32.5736,47.8735
619,김치콩나물죽,441.3,75.29,21.757,5.603
620,오트밀 바나나 죽,758.1,134.07701,24.590998,15.932999
621,소고기미역국,1082.6001,24.858002,52.036003,85.103
622,동태국,1432.9501,95.15599,204.06549,28.175
623,육개장,642.06,50.9926,35.4396,34.8035
624,크림 파스타,1297.7999,100.83051,33.502,85.468994
625,발사믹드레싱의 그린샐러드,482.51,12.707601,4.1528,45.732
626,불고기 라이스 샐러드,894.78,76.165405,27.302,51.708
627,누꼴라 피자,234.55,25.085001,15.22,9.165
628,아지타마고덮밥,708.39996,121.59,28.305,13.356002
629,매콤홍합스튜,800.21,86.3153,48.947098,19.5786
630,버섯무침,262.0,17.519001,9.877,21.301
631,쇠고기얼갈이해장국,1416.15,93.647,93.858505,81.725006
632,어니언스테이크,1149.9,45.323,50.542,83.562
633,찹스테이크,1076.0499,55.8135,39.014996,63.889996
634,도토리묵 무침,790.19995,136.78299,14.966,23.562
635,쉬림프에그인헬,777.25,35.8988,75.5896,34.951202
636,메밀김치전,1615.3501,277.69543,66.735596,23.351501
637,김치말이찜,432.5,11.76,36.385002,25.69
638,소고기카레볶음밥,768.35,64.725006,24.873499,44.526497
639,갑오징어양배추볶음,722.55,50.5366,68.5584,27.578001
640,치즈오븐스파게티,1680.2999,300.974,77.341995,25.194
641,중국식계란스프,502.5,58.704002,31.729498,15.791001
642,소고기표고버섯죽,459.61002,84.1642,12.476,7.9456997
643,햄김치볶음밥,355.5,57.735,61.565,6.75
644,낙지야채볶음밥,427.0,57.790504,21.314001,11.1665
645,허니버터고구마스틱,585.65,120.33151,5.4630003,12.1575
646,해물잡탕밥,972.93994,56.2663,82.0949,44.8589
647,만둣국,534.7,61.9975,29.191502,18.6225
648,라이언 볶음밥,631.6,67.16501,32.516,24.278002
649,토마토홍합찜,540.94995,58.167,37.184,19.962
650,찹쌀리조토,889.69,193.63737,18.542398,5.3524003
651,삼겹살파스타,1442.1,101.852,32.884,100.02
652,알리오올리오라이스,850.6,63.088,8.1645,61.293
653,김치오코노미야끼,1249.8,181.49948,41.8415,34.444
654,사과비빔국수,1067.9601,184.79192,20.636,27.700298
655,에그 그라탱,430.96002,14.032601,32.6136,27.3936
656,흰쌀밥,549.0,118.11,10.215,1.5749999
657,현미밥,535.5,113.88,10.995,3.3449998
658,잡곡밥,537.0,110.10001,14.685,3.135
659,허니버터고구마스틱,585.65,120.33151,5.4630003,12.1575
660,해물잡탕밥,972.93994,56.2663,82.0949,44.8589
661,만둣국,534.7,61.9975,29.191502,18.6225
662,라이언 볶음밥,645.1,71.020004,31.601002,23.978
663,토마토홍합찜,540.94995,58.167,37.184,19.962
664,찹쌀리조토,889.69,193.63737,18.542398,5.3524003
665,삼겹살파스타,1442.1,101.852,32.884,100.02
666,알리오올리오라이스,864.1,66.94301,7.2495003,60.993
667,김치오코노미야끼,1249.8,181.49948,41.8415,34.444
668,사과비빔국수,1067.9601,184.79192,20.636,27.700298
669,에그 그라탱,430.96002,14.032601,32.6136,27.3936
