fseq,name,kcal,carb,prt,fat
50,고추짜장면,3449.6301,525.0008,80.485405,104.751
51,마이러블리튀밥,969.69995,78.69101,39.482002,52.890003
52,마이 스위트 베이비,548.7,30.915,17.118998,37.461
53,짜투리타타,806.35,24.6215,70.2275,47.024498
54,또띠아꿀피자,838.9,56.4125,43.8475,49.431
55,맑은대구탕,43.4,4.032,5.847,0.8449999
56,마파두부덮밥,499.3,31.781998,20.672998,31.793001
57,알리오올리오,1086.1,94.7473,22.7116,67.8552
58,가래떡 삼합,221.05,24.471,3.769,11.809
59,달걀말이,970.80005,9.431001,52.8705,78.1135
60,스테이크 덮밥,560.11,69.87041,39.7079,13.1538
61,봄동 겉절이,432.46002,68.6576,16.3096,15.155499
62,알탕,487.91,41.7027,70.246506,5.0745006
63,순두부찌개,514.19995,16.702002,71.604004,15.409
64,스파게티소스김치스파게티,2195.55,396.76852,78.62,35.22
65,마파두부,828.08997,61.2547,33.610497,46.9557
66,치킨데리야끼,702.42004,62.769596,50.718,22.126001
67,오징어 간장 조림,511.10004,70.119995,49.330505,3.309
68,오징어볶음,283.8,40.031998,6.756,11.702999
69,누룽지닭백숙,1204.4001,12.802,241.60298,14.051
70,고추장 훈제오리김밥,683.32,63.318005,25.2122,36.8924
71,멸치볶음밥,284.0,13.171001,6.7209997,22.632
72,애호박전,629.02,57.435,13.907001,38.738
73,닭볶음탕,1964.5599,175.93259,266.39008,19.505999
74,시래기 청국장,706.01,40.6301,70.04561,27.54
75,아욱국,824.7,32.759,147.376,7.2790003
76,대구탕,1912.8,40.756496,401.87653,9.455001
77,규동,1441.6099,230.70801,50.905296,31.39
78,샤브샤브,2493.3496,253.724,136.89099,100.26201
79,순대볶음,553.2601,75.4156,15.297602,24.462502
80,톳두부무침,393.81998,23.556501,27.0789,24.436398
81,방풍나물무침,301.5,45.143303,8.5994,11.4086
82,소세지 옥수수 통조림감자 루꼴라,1565.75,123.55151,82.55499,81.067505
83,굴무침,564.92,86.5201,14.8355,24.4795
84,까르보나라,2406.6501,266.9075,61.036,121.943
85,길거리토스트,400.58997,49.9177,21.316,14.182899
86,치즈밥전,102.1,14.014,5.0509996,2.702
87,들깨북어미역국,664.64996,16.8895,84.232,30.535
88,또띠아샌드위치,278.1,53.376,9.123,3.162
89,두부 닭고기(가슴) 스테이크,349.39996,14.622,46.697002,10.585
90,치즈잡채쌈,118.3,18.205,3.729,4.341
91,브라우니,340.7,32.565002,4.225,22.469002
92,피클,1197.35,293.71948,13.2695,2.527
93,골뱅이찌개,693.04,58.1363,97.777794,9.5762005
94,도토리묵 무침,477.9,61.898994,9.434999,23.329
95,수제버거,1213.6501,28.3435,98.78171,74.651
96,멸치볶음,119.3,10.47,8.998,5.4459996
97,햄마요덮밥,411.60004,19.5735,40.4095,19.14
98,소고기 만두,858.60004,117.12801,36.278,26.43
99,코다리조림,2465.8503,94.728,444.98352,26.106998
100,닭개장,1790.8002,66.9955,295.3755,35.524998
101,오징어 초무침,255.0,33.310997,25.452003,3.4980001
102,고기완자전,3472.4497,217.382,197.79301,192.09149
103,아몬드 에너지바,315.8,26.0,7.836,22.588
104,두부스테이크,2037.6099,316.4067,93.711006,36.744198
105,메추리알 소고기 장조림,4299.67,143.0523,359.00317,239.59952
106,부대찌개,986.7999,82.1435,60.6875,49.416996
107,보쌈,2203.7002,46.329,109.77151,172.088
108,베이글 크림소스 햄버거,1202.8,42.6875,64.669304,84.506
109,빠에야,439.6,87.295006,13.968,3.093
110,잣 크림치즈 곶감말이,309.0,15.249001,8.025,26.365
111,게살크림치즈만두,846.0,37.787003,18.856,70.129
112,아삭이 가지 고추 물김치,728.0,160.586,17.8955,2.431
113,야채 달걀찜 프리타타,1788.5,77.89949,110.81501,109.173
114,바케트 달걀빵,301.6,27.723001,18.431,13.474
115,돼지고기 김치찌개,2201.15,79.68601,154.1545,133.9285
116,감자볶음,282.4,16.082,24.529,13.898
117,애호박새우젓볶음,377.15,11.5765,5.362,34.651497
118,짜장떡볶이,1238.4,156.08249,66.0495,39.686
119,베이컨갈릭 옥수수 통조림치즈,1348.2198,152.2096,46.1735,61.910995
120,날치알 달걀 덮밥,681.7,81.35351,26.571003,26.1025
121,치킨마요덮밥,1062.2,55.342003,19.499,83.411995
122,해물파전,963.25,149.1305,36.4949,21.072
123,충무김밥,1492.6499,176.455,103.261,41.765995
124,굴소스 스파게티면,1474.45,196.059,55.324997,52.404
125,돼지고기 김치찜,2753.31,58.1156,246.06262,158.193
126,통밀 바나나 잣 빵,1636.55,253.221,48.980995,46.736
127,깐풍만두,179.62,39.496098,5.1101995,1.162
128,허니콤보 치킨,926.4,34.184998,149.54199,18.671999
129,오지치즈후라이,931.1,76.297005,46.628,47.6
130,해물 강된장,515.0,33.444,69.749504,10.0
131,베이컨 치즈 주먹밥구이,1876.2999,125.12901,102.493,103.759
132,유채잎 된장무침,409.0,34.5803,23.752302,24.1684
133,떡꼬치,748.38,146.71541,10.263399,10.839
134,생선까스,363.7,24.253,24.012001,18.163
135,닭꼬치,552.95996,39.6254,73.9571,7.405
136,주꾸미볶음,984.14996,179.3965,51.288498,13.735999
137,명란스파게티면,190.20001,10.988,3.815,14.513001
138,오징어 버터구이,346.4,41.099003,37.779,6.5790005
139,쇼콜라 케이크,2223.7,236.394,95.185,111.32301
140,치킨룰라드,1400.78,44.6446,118.61051,80.9204
141,베이컨 에그컵,508.2,5.105,35.189003,36.709
142,옥수수 통조림치즈 샐러드,507.30002,66.479004,15.74,19.901
143,오이무침,233.1,42.99,8.783,5.4649997
144,컵케이크,495.63,51.216,18.383999,25.9665
145,문어산적,662.55,93.996,18.72,25.3115
146,닭불고기,545.87994,55.313507,43.0279,16.2209
147,마늘 크루통,244.56,46.111,6.0936003,6.468
148,부추 오징어 부침개,586.2,19.651,56.740997,28.944
149,짬뽕,578.19995,39.179,63.096996,16.362
150,크레이프 케이크,3922.7,390.19098,136.12999,202.33002
151,팬피자,522.68,49.184402,34.466103,19.5219
152,돼지고기 보쌈,2079.55,14.939001,107.11,170.3945
153,소불고기,2252.2,53.026997,158.00598,150.07501
154,깻잎나물,787.14,39.8777,22.220001,62.897
155,두부조림,1128.35,66.2245,81.2345,59.343
156,유린기,931.61005,64.7704,129.29799,15.3292
157,홍어회무침,1508.8501,147.99998,215.71552,10.239
158,김치돼지고기 두루치기,1332.1998,61.269,62.945004,88.83699
159,아구찜,1329.9999,147.826,159.40047,6.2645
160,동태조림,928.3,45.688,165.67198,6.8160005
161,깐풍골뱅이,1271.1898,94.0617,170.41971,22.5685
162,돈까스,3148.8,325.119,280.307,65.361
163,황태채 구이,628.01,35.4952,83.79271,16.7643
164,굴밥,795.89996,161.70601,21.7735,2.895
165,알리오올리오,525.15,100.64651,21.628498,5.191
166,돼지고기(목살) 스테이크,2116.9502,60.7345,164.28253,123.78901
167,해물 스파게티,974.19995,156.59349,45.108494,13.8205
168,우유식빵,1547.73,310.557,62.238003,14.382999
169,된장 깻잎 짱아찌,119.9,17.725,7.5965004,1.958
170,차슈 덮밥,2648.62,160.99649,184.061,130.982
171,고추장찌개,138.6,22.105001,7.11,3.2329998
172,어니언딥,1217.3501,43.269997,10.494999,115.14449
173,터키버거 샌드위치,569.30005,29.536,44.905,29.269001
174,미트볼,1161.0801,24.177803,100.62542,69.8526
175,소고기 카레,265.34998,49.482,8.616,5.8980002
176,찜닭,1616.5,103.89101,225.00749,28.181
177,닭고기(날개)구이,1040.0,62.1795,54.7865,58.014
178,스펨카레,369.6,23.835,34.3,16.45
179,두릅무침,400.0,20.1295,25.694,24.797
180,황태국,786.7,6.845,156.653,10.555
181,해독주스,383.0,93.75,9.43,2.3100002
182,미역줄기볶음,354.1,20.95,9.951,30.302498
183,고구마 푸딩,820.91,171.2985,12.346,13.010999
184,또띠아,453.27,26.056,38.593,21.152
185,비트주스,17.9,4.163,0.407,0.095000006
186,찹스테이크,1367.3,59.100506,55.699,98.398
187,고르곤졸라피자,223.5,18.512001,5.392,14.724001
188,해물 떡볶이,1765.6798,329.7678,63.343002,20.475801
189,가지무침,279.61,29.0602,8.536201,15.7963
190,토마토 치킨 카레,579.5499,71.357506,34.2205,20.801
191,김치볶음밥,731.7701,74.675606,27.34,38.1115
192,쿠키 버터,1231.0,194.83,26.509998,48.11
193,참치 치즈토스트,196.7,20.585,12.042,8.051
194,만두 떡볶이,992.56,182.6381,20.041101,22.8812
195,호박 고구마 식빵롤,564.75,123.65849,9.43,4.2295
196,또띠아 피자,213.35002,35.131496,8.479,4.62
197,치즈떡볶이,1063.75,185.75351,56.317005,12.426999
198,치즈가래떡,623.7001,122.934,16.727001,9.155001
199,칠리연어 퀘사딜라,643.39996,13.15,50.74,42.690002
200,식빵토스트,463.4,69.84701,15.23,13.605
201,요거트 베리 피자,1218.2,202.14,19.045,32.965
202,뚝배기 달걀찜,309.67,8.968,27.588,17.384499
203,부추김치전,1009.4,162.23401,46.450996,13.99
204,참치 샌드위치,3867.0503,91.915504,87.80299,351.26498
205,오징어 볶음,597.95,38.806004,34.4835,33.038498
206,부지깽이 새우볶음,274.66,11.7887,16.5534,18.223
207,포테이토피자,586.94995,42.696,20.972,36.366
208,볶음우동,608.1,68.8855,37.175,18.9885
209,멸치주먹밥,1020.45,123.45451,61.1605,29.322002
210,주먹밥,836.6,92.963,49.304996,26.561
211,참깨크래커,967.49994,130.746,14.896,40.321
212,치즈 소스와 맥앤치즈,437.84998,93.3373,19.761297,1.6908001
213,토스트,279.6,38.755,8.004,11.354
214,쫄면,2359.25,403.49292,81.132996,44.5725
215,카라멜 크루통,2376.1,483.42102,49.736004,31.995998
216,오믈렛,693.5,21.2165,49.583,43.333
217,야채참치라면,603.15,87.7175,19.437,21.487999
218,달래 된장찌게,346.37,42.3094,31.129402,8.8654
219,만두그라탕,731.0,95.99801,33.406,24.373001
220,돼지고기장조림,1898.35,22.075,233.9515,87.837006
221,나쵸칩연어까나페,248.26003,33.3439,11.907901,8.0838
222,시금치프리타타,1668.41,79.8383,107.58971,98.156006
223,망고 치아시드 푸딩,631.45,93.3235,15.42,21.182499
224,연어스테이크,997.8,138.10901,62.036003,24.421999
225,수제딸기아이스크림,2064.21,116.0565,59.351997,154.04399
226,베리크림치즈크레이프,2654.28,386.41772,66.069496,91.459595
227,소시지프라타타,791.8,57.481003,62.982994,34.931
228,치즈김밥,289.59998,54.824,11.886001,4.04
229,호떡,672.39996,88.852,15.707,28.838999
230,참치주먹밥,1033.55,105.97952,29.530499,55.197
231,피넛오트밀쉐이크,1473.2,210.523,40.595,51.829998
232,봄동비빔국수,337.66998,50.048702,7.8513002,12.507299
233,날치알밥,678.77,103.42252,23.689499,19.9575
234,스파이시 글레이즈 피칸,1699.56,93.5582,30.370998,145.65039
235,연어샌드위치,438.3,51.940998,28.229,12.799
236,미니참치버거,1869.7999,267.41803,71.21301,58.526
237,로스트 브로콜리,482.9,32.863003,12.481501,34.981
238,대파절이,247.91,31.646702,8.957,11.3398
239,웨지감자,140.3,3.4550002,3.286,12.859
240,닭고기(가슴) 샌드위치,638.9,68.037,58.656998,14.532
241,크레미 오이롤초밥,456.1,75.569,12.835001,10.995999
242,초코강정,1604.25,213.6445,21.698,76.846
243,깍두기볶음밥,596.05,91.218,23.709501,15.5655
244,허니브래드,968.7,158.54501,33.132004,23.883999
245,기름떡볶이,899.35,178.9118,14.313701,14.610499
246,연어마요덮밥,812.75006,70.5145,64.9175,27.506002
247,롤케이크,576.5,138.986,9.557,2.421
248,꽈리고추 멸치볶음,685.8301,50.935005,22.9193,41.671997
249,부대즉석떡볶이,857.7,150.989,29.827002,17.744999
250,불고기 깻잎 토스트,233.0,37.752,10.135,5.3059998
251,크림딸기모찌,1055.5,149.71,19.445,43.54
252,바게트피자토스트,940.80005,105.489,43.141,37.453003
253,완두콩스파게티면,1151.24,177.92912,32.135902,33.313995
254,밥스테이크,673.2,85.99351,34.215,19.9695
255,고구마도넛,1593.2,327.907,21.0755,19.522999
256,밥도그,1498.95,251.93399,51.800503,27.879997
257,달걀부추빵,1039.2,66.8565,44.6815,65.02901
258,햄이라면,991.1599,123.4652,31.071001,40.654198
259,에그홀토스트,430.0,47.648003,24.79,16.417
260,매운홍합볶음,824.42,71.0011,52.800503,35.803997
261,홍합라면,1580.7,241.327,34.885,53.350998
262,마약김밥,1577.2,309.659,39.74,20.6765
263,돈까스 라면,2047.3,261.08203,72.884995,77.729
264,스크램블에그 치즈라면,1802.7999,240.315,55.198,67.803
265,고등어김치찌개,978.1,34.705997,95.891,49.076996
266,베리스무디,497.0,88.56999,11.59,16.8
267,홍구리라면,1538.1,238.172,32.374,50.721
268,해물라면,3553.8,525.12805,119.90401,107.20999
269,달걀 샌드위치,842.01996,41.2335,58.202698,47.7466
270,몬테크리스토 샌드위치,651.8,44.115,32.479,37.225998
271,츄러스,2915.18,363.75052,86.4095,144.5775
272,모닝빵샌드위치,507.7,76.495995,15.345002,15.638
273,돼지고기(삼겹살)김밥,899.75,40.4185,41.138,62.571495
274,모차렐라치즈 피자,1056.7499,129.8419,42.744003,44.8136
275,봉골레 스파게티,896.2,141.245,46.907993,13.844
276,아보카도 부르스케타,280.12,29.8335,7.8685,17.213
277,해산물 토마토 스파게티,401.8,35.775,34.134,12.782999
278,소고기 카르대파치오,1021.66,73.244,44.739002,67.731
279,간장새우,968.6,32.578,187.31102,6.879
280,닭고기(가슴) 오므라이스,1134.2001,93.28,92.245,38.260998
281,닭발 볶음,218.34999,22.856,6.278,12.614999
282,닭고기(가슴) 샐러드,220.0,20.796999,9.618,12.864
283,해산물 피자,395.25,20.543499,35.080498,18.287998
284,허니버터칩,243.15999,56.8642,5.8738995,1.0874001
285,고추페스토 치즈롤,997.6,79.035995,40.614,59.584
286,파인애플볶음밥,186.4,23.894,10.33,6.33
287,배추찜,471.8,42.662502,8.518,30.130001
288,두부샐러드,325.8,12.708,19.522003,22.346
289,밤 머핀,1302.73,197.934,29.094,41.819004
290,애호박전,149.29999,19.046999,16.4865,0.85300004
291,잔치국수,312.4,17.730999,8.354,25.290998
292,카레치즈라면,2373.6,348.835,48.494003,87.02901
293,치즈 달걀말이,935.2,7.208,84.964,58.020004
294,프렌치 토스트 머핀,2134.6,196.588,71.448,116.769
295,차슈덮밥,1438.45,75.549995,105.64449,78.15749
296,부타동,1045.44,110.37149,57.143,38.932
297,스캘럽트 포테이토,3359.8901,449.33063,148.7124,112.22551
298,파인애플 볶음밥,1172.9,188.48103,35.674995,27.29
299,소고기(차돌박이) 간장비빔국수,1815.73,272.0096,87.65879,36.385002
300,홍구리 라면,1901.9,261.93802,56.149,68.94
301,시금치 크림소스 감자뇨끼,1765.1,236.0965,57.6135,67.242
302,함박스테이크,1459.1,60.635,91.479,89.098495
303,쥐포 간장볶음,207.89,19.897799,19.6805,5.357
304,사과 부추무침,259.1,39.116295,8.2965,9.1305
305,산마늘(명이나물) 장아찌,1905.0,446.798,49.543,2.207
306,고추장 떡국,1366.3497,189.98102,63.676,39.742
307,소고기(차돌박이)고추장찌개,425.02,65.4286,33.5772,7.1569996
308,전자렌지 달걀찜,279.69998,3.2340004,26.565998,16.54
309,골뱅이 비빔국수,587.87994,63.7262,77.154305,2.8586
310,스토로베리 요거트 아이스캔디,827.60004,159.583,19.678,15.851001
311,김치돼지고기(삼겹살)말이,1073.1799,64.500496,42.299503,73.0175
312,쿠키버터머그케이크,552.52,79.784,10.554,20.098
313,명란볶음밥,222.45999,47.7393,4.658,0.8892999
314,삼겹철판볶음면,44.799995,2.45,2.421,3.0620003
315,야채피클,758.55,190.428,5.2795,0.1885
316,또띠아피자,177.19998,27.915,6.922,4.163
317,아보카도 망고 롤리팝,792.8,140.70299,6.454,29.668997
318,햄두부샌드,689.0,15.303999,88.669,27.686
319,해물토마토스파게티면,1720.35,219.19902,130.47849,24.978498
320,소고기(차돌박이) 부추무침,836.72,48.280598,51.7826,46.0335
321,멍게비빔밥,154.6,18.153,17.644001,2.467
322,샐러드피자,864.7999,69.67449,51.259502,42.662
323,김치그라탕,1430.3,242.83801,56.265003,28.053999
324,곰취장아찌,2148.0,495.88998,55.04,2.45
325,갈릭피뇨 스파게티면,1549.3999,178.71301,30.061,79.3985
326,초우지단,951.44995,19.389002,68.292496,63.7333
327,몽골리안 비프,851.24,36.742004,42.251698,56.518497
328,유채잎무침,378.13,33.8718,20.728302,21.9389
329,오야코동,406.1,19.295002,47.486496,12.495
330,훈제오리전골,890.1,17.775,135.80101,28.005
331,무말랭이무침,454.1,81.53199,19.366001,5.6379995
332,두루치기,1137.1001,28.216,99.94301,65.28999
333,달래장 곤드레밥,1855.0201,354.62347,43.178,24.7251
334,피스타치오 사브레,1445.2,285.658,37.842003,32.36
335,유니짜장면,5756.95,797.63104,185.4205,178.05249
336,열무비빔냉면,1594.3501,278.441,50.847,29.8305
337,열무비빔국수,1575.2501,277.90698,43.359997,29.155499
338,소고기 된장찌개,422.54,36.4323,38.9797,13.3829
339,갓김치 비빔국수,1356.9,250.50302,37.561996,18.932
340,소고기(차돌박이) 된장찌개,347.31,37.771202,30.932701,8.5032
341,냉쫄면,415.8,47.183,20.289001,19.092997
342,타코야키,1024.2001,139.741,46.738,25.702002
343,된장찌개,100.70001,14.732,7.2409997,2.284
344,사과 김치 비빔국수,2818.1401,513.52216,91.802505,45.0047
345,참치마요 주먹밥,428.80002,53.423504,15.297501,18.3455
346,캘리포니아롤,1201.9,206.61104,26.834,29.898
347,사골국수,1289.41,235.2992,46.266296,12.3469
348,어묵찌개,505.72003,65.2096,26.553,17.7828
349,연어 달걀샐러드,295.49997,11.817502,24.499502,16.161999
350,참치우동볶음,672.62006,63.034405,31.091198,31.961998
351,프렌치 토스트,837.8,49.621994,57.401997,43.343998
352,지성만두밥,745.8,100.865,23.964,26.934998
353,현미전복영양밥,5325.4,1005.132,235.81699,34.26
354,에그&베이컨치즈샌드위치,529.30005,33.906998,33.052002,28.390001
355,콩국수,1016.9,135.789,41.163002,32.379997
356,두부 견과 콩국수,1893.25,251.29349,57.9545,71.756004
357,피망절임,1254.7,43.101,81.146,109.6935
358,카르쵸피 리피에니,1183.6998,90.287,27.815,78.976006
359,두부짜장면,3500.85,684.9835,111.04549,22.33
360,구운 파프리카,335.2,9.1695,28.2385,21.58
361,김치밥,1190.1,195.52202,19.275,33.612
362,해산물샐러드,426.84998,24.380499,40.293,19.055
363,사천식 소고기볶음,2501.3699,132.4923,92.4492,176.57321
364,매운어묵,499.1,50.373,62.082,8.333
365,연어 야채죽,968.48,125.4476,72.531204,15.273199
366,달걀 샐러드,740.14996,19.510998,44.339005,52.481503
367,딸기 롤 샌드위치,352.34998,52.3485,8.0130005,13.4595
368,마녀수프,984.0,73.53001,138.15999,17.71
369,닭튀김,1031.4401,166.2159,56.42499,17.693602
370,치킨 가라아게,638.77997,47.254295,53.4579,22.1179
371,꽁치고추장찌개,903.25006,46.997005,120.85901,24.002499
372,리코타치즈 치킨롤,551.2,7.728,74.262,23.631
373,볶음라면,1768.1001,237.48,30.178,78.015
374,김밥,1603.7,235.30002,84.314,34.374996
375,뼈다귀 감자탕,3084.68,141.7822,228.96031,160.33798
376,소고기(갈비)찜,2995.86,132.74269,154.25098,196.6275
377,게살덮밥,852.9001,97.045,31.781498,35.182
378,치즈불닭,1354.7599,126.76771,76.5035,60.389202
379,달걀 범벅,636.6,17.400002,64.225,35.161
380,고추장 케사디야,1274.1,113.369,99.11949,48.13
381,수제비,2340.6,363.939,74.593,61.991005
382,홍합 짬뽕,2603.8499,164.18901,253.092,98.548996
383,제육볶음,1466.8999,179.657,75.10151,52.041
384,김치콩나물국,111.85,17.8725,7.8437004,1.9067999
385,단호박튀김,10069.15,680.44556,34.745003,805.49
386,두부카나페,594.85,63.3,24.977,28.919998
387,고등어 데리야끼구이,1368.8501,93.523994,109.1975,52.545494
388,돼지고기(앞다리살)살야채구이,813.2,18.662003,68.874,49.685
389,오이지,260.0,62.0,16.0,0.0
390,연어초밥,1713.2997,246.42552,81.70199,41.426003
391,닭갈비,1799.6897,128.5591,123.4594,87.494
392,치즈관자팽이나라,401.40002,41.506,49.16,7.523
393,멸치달걀볶음밥,1065.35,105.41701,67.787,37.691998
394,치즈달걀밥,1088.5,107.87801,65.179,40.643997
395,묵사발,553.75,121.347,42.850002,9.0295
396,베이컨 말이 감자 튀김,6449.5,251.7,90.885,568.4
397,연복풍덮밥,1216.1499,140.324,38.3285,59.437
398,백종원 치킨,4584.3,849.58606,231.569,28.536
399,오이고추 된장무침,291.47,29.7392,9.1949005,16.7387
400,맥 앤 치즈,4754.5,669.81494,165.30002,158.63
401,감자루꼴라,6797.8,164.7135,93.56899,644.91797
402,월남쌈,1186.4501,149.1305,43.65,46.7635
403,옥수수전,594.8,105.03799,14.832,12.713
404,햄버거,2102.4102,196.80841,127.1301,89.09751
405,블루밍 어니언,1065.15,106.3482,43.0686,49.477997
406,리코타 샐러드 스파게티면,2634.5,401.77,78.924995,83.560005
407,초계탕,753.87,109.3161,58.891502,6.911
408,문어연포탕,1051.4,60.171,170.73248,8.297999
409,감자튀김,1589.5802,147.23299,15.2321,104.926
410,곤약구이,870.30005,265.55704,8.997499,10.169
411,콜리플라워 라이스,787.8,94.095,35.213,39.4345
412,치즈감자전,544.8,48.828003,36.567997,21.534
413,맥앤치즈볼프라이,6771.51,378.27,73.4227,553.6339
414,족발불고기,628.48004,46.956505,50.771797,51.166
415,피자핫도그,729.8,75.046,53.363503,22.572
416,꼬꼬뱅,2486.95,301.31702,154.93802,37.338997
417,소시지야채볶음,1867.96,182.05779,65.773094,103.0424
418,전자레인지 양파링,980.7,92.002,54.482998,40.035004
419,돼지고기(삼겹살) 냉채,2318.45,141.1575,118.23301,145.33101
420,오꼬노미야끼,1907.4,176.31099,195.32251,42.219997
421,소시지 캠핑요리,1071.7,77.27051,31.0255,72.102
422,햄프라이,1028.63,90.04599,29.31,62.092697
423,훈제연어 에그 베네딕트,1586.2999,158.0445,64.7585,86.689995
424,탕수육,543.65,0.8720001,46.758503,37.72
425,만두피 츄러스,329.75,78.6965,6.9,1.5999999
426,오꼬노미야끼 달걀말이,1000.7501,20.992,108.008,50.706
427,매운 갈매기살 덮밥,617.37,109.9765,28.004498,8.825
428,청경채 볶음,924.1,28.364,3.567,90.255
429,삼겹살샐러드,829.39996,29.12,39.976,60.907997
430,매콤치즈등갈비,1530.97,210.1273,111.73001,36.373497
431,새우떡갈비,1049.5,4.7,132.03001,52.684998
432,홍합스파게티,1010.0,191.013,52.815998,4.548
433,골뱅이 비빔면,792.64996,127.29301,47.4055,7.5435004
434,파채 골뱅이 튀김,318.22,45.534595,31.973,3.1399999
435,부추볶음 연어 스테이크,971.63,74.4295,43.803,58.225502
436,가래떡 떡볶이,926.75,203.941,25.589499,5.935
437,계란 오꼬노미야끼,1359.1,25.6305,125.4055,80.09901
438,차돌박이 물회,269.2,30.9396,25.054,6.1196
439,스팸전골,239.4,33.467,32.186,4.484
440,미소라멘,1107.7,137.728,47.720505,38.401997
441,두부참치스테이크,1198.5999,137.436,74.2665,40.060997
442,물쫄면,701.02997,148.65988,17.4611,3.166
443,생선커틀릿,1497.67,219.5351,80.202995,26.980999
444,오리주물럭,763.60004,106.01099,64.7545,11.693
445,명란감자파스타,859.75,139.4265,27.503498,21.130001
446,백순두부찌개,794.7,53.282997,106.854,23.137001
447,장떡,1600.19,248.6942,32.482403,48.827
448,양배추두부조림,859.75,71.939,44.163498,46.134003
449,소고기간장떡볶이,1671.24,166.73048,42.9437,92.6075
450,단팥죽,1167.86,256.9964,24.596,2.4852
451,눈꽃새우튀김,2628.6997,127.3565,67.61651,203.923
452,또띠아고구마치즈롤,1127.6299,143.3457,45.1092,41.0795
453,항정살스테이크,572.25,25.213001,59.977,24.960001
454,불주꾸미 볶음우동,392.69998,51.9205,24.7055,7.7795
455,제육볶음피자,789.39996,28.508999,56.5,48.351
456,매콤 소세지 크림 숏파스타,1144.57,209.2632,39.066597,17.7425
457,열무참치비빔밥,616.75,43.264496,34.8135,33.1535
458,단호박 크랜배리 샐러드,419.66,30.1971,2.8927,33.482
459,치즈밥,772.4,77.0185,32.226,36.01
460,불닭,1274.45,117.8895,107.28851,43.2065
461,치즈콩불,1380.1,64.657,78.64,92.663
462,비빔밥부리또,1437.7999,95.618004,87.882996,74.62601
463,참치야채죽,513.5,57.182003,23.280998,21.2665
464,김치 두루치기,1463.6001,116.039,83.59051,75.197495
465,계란말이튀김,698.45,27.967999,55.356495,37.164
466,반반갈비찜,1545.75,140.896,127.02301,51.997997
467,라면볶이,989.25,132.92259,42.360104,32.333103
468,애플파이,1360.3,302.383,19.705,19.513
469,돼지고기 두부조림,783.95,47.802002,68.9245,35.057003
470,애호박 오징어전,2021.7,386.257,80.331,7.415
